Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
45,15000,620,Employed,Associate,21,17419,36,Married,3,Own,519,0.3685281854962228,3,2,0.2971670575156526,0,Debt Consolidation,0,20,20,2601,455,72122,12405,1250.0,0.8326120803209521,7,59717,0.192419,0.199351486428321,646.7770174354655,0.9326216139483724,0,49.0
25,49855,486,Employed,Master,3,18998,48,Married,5,Own,404,0.1482862585074087,2,0,0.7625491487692065,0,Debt Consolidation,0,23,4,2841,2102,62488,68894,4154.583333333333,0.5106665260386972,4,4711,0.2709979999999999,0.2777869987276958,659.7176043108055,0.2560347257392372,0,61.0
51,38932,576,Employed,Master,30,17844,72,Married,1,Rent,491,0.4112927205303451,1,0,0.1286798177342233,0,Home,0,17,21,3383,2035,32491,65273,3244.333333333333,0.8358038022813994,4,2228,0.244844,0.2504497318627011,481.15953748520536,0.2996484755425476,0,52.0
18,58116,516,Unemployed,High School,0,24050,60,Married,0,Mortgage,831,0.1417191798580339,3,0,0.308723143828648,0,Home,0,24,25,9175,285,112872,59908,4843.0,0.8511768038082941,4,52964,0.27105,0.2548260766413062,712.7201069856146,0.3187528612400608,0,54.0
25,62939,562,Employed,Bachelor,3,27263,36,Married,0,Rent,766,0.232933623669339,3,1,0.4657768626717912,0,Auto,1,19,14,5036,132,190687,1509,5244.916666666667,0.5876442798634725,3,189178,0.231263,0.1850104,992.4887427882808,0.3352748679429188,0,58.0
25,64187,567,Unemployed,Associate,3,15959,120,Married,1,Other,505,0.2314833621167099,5,2,0.3841467134997768,0,Debt Consolidation,0,25,23,3029,1476,57509,29163,5348.916666666667,0.786616689968137,4,28346,0.287459,0.2606835032290247,375.1441229090656,0.1645462395019051,0,57.0
43,29872,607,Employed,Master,22,16719,12,Married,2,Other,826,0.1863815316388412,2,1,0.4417912980964974,0,Auto,0,34,8,294,745,14144,46569,2489.333333333333,0.8929933265189166,5,10868,0.178219,0.1500577303858187,1509.0742691445917,0.9380319774281968,0,55.0
51,70068,593,Employed,Associate,24,21460,12,Single,0,Rent,705,0.2389723426802498,4,1,0.5247679996034706,0,Auto,0,20,11,720,448,333984,48700,5839.0,0.7199304860086014,5,285284,0.18996,0.1881279855669894,1975.7633690579084,0.4591134387836802,1,41.6
28,138416,526,Employed,Bachelor,4,19488,84,Married,1,Own,155,0.1801039306468853,2,1,0.7128381825632863,0,Debt Consolidation,0,23,16,4800,986,15036,25614,11534.666666666666,0.5677438876610547,3,1768,0.281488,0.3009074297418105,558.4096553350165,0.0618491783032322,0,55.0
48,49945,601,Employed,Master,25,17041,48,Married,0,Other,478,0.0690786362900701,0,2,0.2531787512242935,1,Debt Consolidation,0,21,23,10112,1686,11798,5942,4162.083333333333,0.6995480795203072,5,5856,0.211541,0.2417524462151954,557.2201249707826,0.2487264290649593,0,61.0
52,60223,672,Employed,Bachelor,31,60181,24,Married,0,Own,265,0.506081810938459,4,2,0.4224949589796062,0,Debt Consolidation,0,20,19,2732,1565,61899,21175,5018.583333333333,0.6355187934121254,7,40724,0.1991809999999999,0.2071684100365022,3084.076219116431,0.6673349821396671,0,51.0
29,55172,606,Employed,Bachelor,6,40220,36,Married,0,Mortgage,317,0.5136802341383394,4,6,0.5761166993738129,0,Auto,0,31,9,14454,1521,82416,8200,4597.666666666667,0.8553367080777702,4,74216,0.22222,0.2238548220091063,1544.0523603590204,0.4047819242425187,0,55.0
41,24251,549,Employed,High School,21,19614,12,Single,0,Mortgage,370,0.1602987115890304,4,3,0.4740990225445839,0,Home,0,22,4,16295,1035,42199,257118,2020.9166666666667,0.8010812472867317,3,8005,0.210114,0.186624174028717,1804.400543520162,1.0759476525603868,0,60.0
73,119563,663,Employed,Associate,50,22717,48,Married,3,Rent,354,0.1421185049929478,3,1,0.3258946650604638,1,Auto,0,34,18,4436,4101,181657,5680,9963.583333333334,0.7436853225578793,4,175977,0.186217,0.1600186739164996,643.8278855426216,0.1001474923388628,1,43.2
31,33414,496,Employed,Master,1,17430,48,Widowed,2,Own,308,0.3075734719959878,4,1,0.2439747299942452,0,Debt Consolidation,0,28,13,790,3575,95801,39554,2784.5,0.7773903323445114,1,56247,0.26443,0.2948778553692576,622.4025545748432,0.3341363097772825,0,51.0
36,66413,519,Employed,Associate,16,7758,96,Married,0,Own,413,0.3613535270689308,5,2,0.3585779471186674,0,Home,0,36,9,8031,1698,17567,31611,3035.4166666666665,0.6753359995919482,3,3898,0.283258,0.2664524630526528,196.07355443976417,0.2006556665278564,0,55.0
36,68714,516,Employed,High School,15,10387,72,Married,0,Other,416,0.3678284710679185,3,3,0.2377603441860217,0,Home,0,24,10,10948,1863,13755,171817,5726.166666666667,0.94084335134373,3,3611,0.267387,0.2966401239425781,310.2378523807718,0.1268279277668198,0,52.0
48,183728,649,Employed,Master,24,29727,36,Single,0,Own,727,0.3583293577843072,2,0,0.2435853804410391,0,Debt Consolidation,0,26,20,2427,3117,233984,3546,15310.666666666666,0.7081946250998099,5,230438,0.190227,0.2152688236632996,1128.0246046731295,0.1211589700866365,1,34.4
48,52971,577,Employed,Master,23,28096,36,Married,2,Mortgage,578,0.3474026547532935,4,0,0.4607091166251331,0,Home,0,31,22,2628,177,89493,6925,4414.25,0.7260780097953478,7,82568,0.224596,0.2236332984980466,1078.2871363767645,0.3752137138532626,0,54.0
23,36572,615,Employed,Master,0,7963,36,Divorced,1,Rent,357,0.2265691854125218,1,1,0.3623106025649855,0,Auto,0,15,23,2898,586,59946,113579,3047.6666666666665,0.9480133919559536,7,3147,0.185463,0.2076774606155762,299.05782756421456,0.2152656111443338,0,52.0
46,109413,494,Employed,Associate,24,35272,24,Married,3,Mortgage,94,0.1754821302153058,3,3,0.1185043387440525,0,Home,1,24,28,1286,489,19363,15604,9117.75,0.903777119211842,5,3759,0.263272,0.2589497945937883,1898.395957705234,0.2185183798311243,1,43.2
36,84916,599,Employed,Associate,12,12026,48,Divorced,0,Own,629,0.4068576317881763,4,0,0.5960756922416104,0,Home,1,20,24,278,602,13635,29075,7076.333333333333,0.9204355778663338,9,6650,0.207526,0.2490312,398.098085340337,0.1451455205624858,0,64.0
37,202829,619,Employed,Associate,17,25424,36,Widowed,2,Rent,908,0.294192851889301,7,1,0.3352698498750075,0,Education,0,23,12,1353,1147,39746,10833,16902.416666666668,0.8532224610899344,6,28913,0.200924,0.2284782428840686,982.1406077204972,0.1118266485199156,1,39.2
