iter	RMSE
0	7.132424528
1	6.53166953
2	6.002641943
3	5.523581798
4	5.094311769
5	4.710305218
6	4.368531751
7	4.062877365
8	3.792021545
9	3.54619278
10	3.321337574
11	3.1223051
12	2.934645848
13	2.774271897
14	2.631487725
15	2.495847351
16	2.377546107
17	2.267364377
18	2.161631765
19	2.058832059
20	1.967142207
21	1.875426591
22	1.790710611
23	1.716274082
24	1.639390118
25	1.571191794
26	1.508515902
27	1.449908629
28	1.389263934
29	1.335030945
30	1.281086285
31	1.231272303
32	1.18635776
33	1.144265789
34	1.101383032
35	1.062069548
36	1.025413466
37	0.9919195576
38	0.9606625152
39	0.9300440848
40	0.9017615205
41	0.8750612937
42	0.8503498217
43	0.8270640348
44	0.8037733338
45	0.7831608507
46	0.7641012203
47	0.7451941509
48	0.728413903
49	0.7125492658
50	0.6970704824
51	0.6833756569
52	0.669909492
53	0.6588577286
54	0.6480500118
55	0.6368216737
56	0.6265392832
57	0.6155806167
58	0.6058819752
59	0.5968451283
60	0.5889324595
61	0.5807873622
62	0.5727776
63	0.5641942336
64	0.5565536765
65	0.5503729426
66	0.5450639621
67	0.5383494719
68	0.5331237555
69	0.5268026629
70	0.520697549
71	0.5141718652
72	0.5094255657
73	0.504395694
74	0.4984365728
75	0.4939147096
76	0.4898007824
77	0.4861639592
78	0.4811050426
79	0.4766906317
80	0.4721379418
81	0.4656343239
82	0.4618889689
83	0.4570940376
84	0.4529358261
85	0.4495258351
86	0.4471056946
87	0.4437533919
88	0.4414052179
89	0.4378168543
90	0.4339186588
91	0.4301829806
92	0.4254181336
93	0.4234608176
94	0.4208922725
95	0.4185350731
96	0.414835131
97	0.4114493418
98	0.4076388065
99	0.4028030871
