iter	Passed	Remaining
0	7	708
1	13	665
2	20	661
3	26	643
4	33	631
5	38	609
6	44	592
7	50	584
8	56	573
9	62	565
10	68	557
11	74	547
12	80	540
13	86	530
14	92	523
15	98	516
16	104	508
17	110	502
18	116	498
19	123	494
20	130	490
21	137	485
22	143	479
23	149	472
24	156	468
25	163	465
26	170	460
27	176	453
28	182	447
29	188	440
30	194	433
31	201	428
32	209	425
33	215	418
34	221	411
35	227	404
36	233	397
37	238	389
38	244	382
39	249	374
40	255	367
41	260	360
42	265	352
43	271	345
44	280	342
45	285	335
46	291	328
47	296	321
48	301	314
49	307	307
50	312	300
51	318	293
52	323	287
53	328	280
54	334	273
55	339	266
56	345	260
57	350	254
58	356	247
59	361	240
60	366	234
61	372	228
62	377	221
63	383	215
64	388	209
65	394	203
66	399	196
67	405	190
68	410	184
69	415	178
70	421	172
71	426	166
72	432	159
73	437	153
74	443	147
75	449	141
76	454	135
77	460	129
78	465	123
79	470	117
80	476	111
81	481	105
82	487	99
83	492	93
84	498	87
85	504	82
86	509	76
87	516	70
88	522	64
89	529	58
90	535	52
91	542	47
92	548	41
93	555	35
94	561	29
95	567	23
96	573	17
97	579	11
98	586	5
99	592	0
